"Member Country"|"preschool.population"|"preschool.anaemia.proportion"|"preschool.anaemia.population"|"pregnant.population"|"pregnant.anaemia.proportion"|"pregnant.anaemia.population"|"women.other.population"|"women.other.anaemia.proportion"|"women.other.anaemia.population"|"women.children.anaemia.proportion"|"general.population"
"Afghanistan"|5732|37.9|2172|1567|61.0|956|6645|24.7|1254|31|31082
"Albania"|252|31.0|78|54|34.0|18|831|21.1|164|23|3147
"Algeria"|3218|42.5|1369|712|42.8|305|9524|31.4|2770|33|33354
"Andorra"|4|12.0|0|1|15.5|0|17|16.2|3|14|67
"Angola"|3058|29.7|908|811|57.1|463|3764|52.3|1544|38|16400
"Antigua and Barbuda"|8|49.4|4|2|29.5|1|22|26.5|5|31|82
"Argentina"|3346|18.1|605|696|25.4|177|9828|18.0|1647|18|39134
"Armenia"|162|23.9|39|37|12.0|4|885|12.4|105|14|3007
"Australia"|1252|8.0|101|254|12.4|32|5114|14.7|714|13|20366
"Austria"|379|10.5|40|72|15.5|11|1993|14.8|283|14|8205
"Azerbaijan"|604|31.8|192|141|38.4|54|2551|40.2|969|37|8471
"Bahamas"|30|21.9|7|6|23.3|1|91|22.7|19|21|327
"Bahrain"|64|24.7|16|12|27.7|3|185|51.3|88|41|739
"Bangladesh"|17491|47.0|8221|3759|47.0|1767|37148|33.2|11085|36|144437
"Barbados"|16|17.1|3|3|23.0|1|76|17.2|13|18|270
"Belarus"|452|27.4|124|92|25.8|24|2643|19.4|496|20|9700
"Belgium"|559|8.7|48|108|12.9|14|2421|13.5|313|12|10437
"Belize"|34|35.9|12|7|51.7|4|72|31.2|20|32|275
"Benin"|1478|81.9|1210|366|72.7|266|1988|63.2|1025|65|8703
"Bhutan"|297|80.6|239|66|49.6|33|533|54.8|256|59|2211
"Bolivia"|1243|51.6|641|263|37.0|97|2308|32.9|673|37|9354
"Bosnia and Herzegovina"|182|26.8|49|36|34.8|13|1001|21.3|206|22|3912
"Botswana"|215|38.0|82|44|21.3|9|455|32.7|135|32|1760
"Brazil"|18074|54.9|9923|3697|29.1|1077|52301|23.1|11213|30|188883
"Brunei Darussalam"|40|24.2|10|8|38.9|3|110|20.4|21|22|382
"Bulgaria"|334|26.7|89|64|29.7|19|1872|17.7|319|19|7671
