"iso2"|"Country"|"year"|"ancpercent"
"AFG"|"Afghanistan"|"2010-2011"|15
"AFG"|"Afghanistan"|2010|16
"ALB"|"Albania"|"2008-2009"|67
"ALB"|"Albania"|"2002"|41
"DZA"|"Algeria"|"2012"|68
"AGO"|"Angola"|"1996"|32
"ARG"|"Argentina"|"2011-2012"|90
"ARG"|"Argentina"|"2004-2005"|89
"ARM"|"Armenia"|"2010"|93
"ARM"|"Armenia"|"2005"|71
"ARM"|"Armenia"|"2000"|65
"AUS"|"Australia"|"2008"|92
"AZE"|"Azerbaijan"|"2006"|45
"AZE"|"Azerbaijan"|"1996-2001"|30
"BGD"|"Bangladesh"|"2013"|25
"BGD"|"Bangladesh"|"2011"|26
"BGD"|"Bangladesh"|"2010"|23
"BGD"|"Bangladesh"|"2007"|21
"BGD"|"Bangladesh"|"2004"|16
"BGD"|"Bangladesh"|"2001"|12
"BGD"|"Bangladesh"|"1999-2000"|11
"BGD"|"Bangladesh"|"1996-1997"|6
"BGD"|"Bangladesh"|"1993-1994"|6
"BLR"|"Belarus"|"2012"|100
"BLZ"|"Belize"|"2011"|83
"BLZ"|"Belize"|"1986-1991"|76
"BEN"|"Benin"|"2011-2012"|58
"BEN"|"Benin"|"2006"|61
"BEN"|"Benin"|"2001"|62
"BEN"|"Benin"|"1996"|54
"BTN"|"Bhutan"|"2010"|77
"BOL"|"Bolivia (Plurinational State of)"|"2008"|72
"BOL"|"Bolivia (Plurinational State of)"|"2003"|58
"BOL"|"Bolivia (Plurinational State of)"|"1998"|48
"BIH"|"Bosnia and Herzegovina"|"2011-2012"|84
"BWA"|"Botswana"|"2007"|73
"BRA"|"Brazil"|"2011"|90
"BRA"|"Brazil"|"2009"|91
"BRA"|"Brazil"|"2007"|89
"BRA"|"Brazil"|"2006"|89
"BRA"|"Brazil"|"2005"|87
"BRA"|"Brazil"|"1996"|76
"BFA"|"Burkina Faso"|"2010"|34
"BFA"|"Burkina Faso"|"2003"|18
"BFA"|"Burkina Faso"|"1998-1999"|23
"BFA"|"Burkina Faso"|"1993"|23
"BDI"|"Burundi"|"2010"|33
"CPV"|"Cabo Verde"|"2005"|72
"CPV"|"Cabo Verde"|"1998"|64
"KHM"|"Cambodia"|"2010"|59
"KHM"|"Cambodia"|"2005"|27
"KHM"|"Cambodia"|"2000"|9
"CMR"|"Cameroon"|"2011"|62
"CMR"|"Cameroon"|"2004"|60
"CMR"|"Cameroon"|"1998"|52
"CMR"|"Cameroon"|"1991"|49
"CAN"|"Canada"|"2006-2007"|99
"CAF"|"Central African Republic"|"2010"|38
"CAF"|"Central African Republic"|"1994-1995"|40
"TCD"|"Chad"|"2010"|23
"TCD"|"Chad"|"2004"|18
"TCD"|"Chad"|"1996-1997"|15
"COL"|"Colombia"|"2010"|89
"COL"|"Colombia"|"2005"|83
"COL"|"Colombia"|"2000"|81
"COL"|"Colombia"|"1990"|67
"COM"|"Comoros"|"2012"|49
"COM"|"Comoros"|"1996"|52
"COG"|"Congo"|"2011-2012"|79
"COG"|"Congo"|"2005"|75
"CRI"|"Costa Rica"|"2011"|90
"CRI"|"Costa Rica"|"2008"|86
"CIV"|"Côte d'Ivoire"|"2011-2012"|44
"CIV"|"Côte d'Ivoire"|"2005"|45
"CIV"|"Côte d'Ivoire"|"1998-1999"|36
"CIV"|"Côte d'Ivoire"|"1994"|29
"CUB"|"Cuba"|"2012"|100
"CUB"|"Cuba"|"2011"|100
"CUB"|"Cuba"|"2010"|100
"CUB"|"Cuba"|"2009"|99
"CZE"|"Czech Republic"|"1993"|97
"PRK"|"Democratic People's Republic of Korea"|"2009"|94
"COD"|"Democratic Republic of the Congo"|"2010"|45
"COD"|"Democratic Republic of the Congo"|"2007"|47
"DJI"|"Djibouti"|"2012"|23
"DJI"|"Djibouti"|"2002"|7
"DOM"|"Dominican Republic"|"2007"|95
"DOM"|"Dominican Republic"|"2002"|94
"DOM"|"Dominican Republic"|"1996"|88
"ECU"|"Ecuador"|"2004"|58
"ECU"|"Ecuador"|"1994"|64
"ECU"|"Ecuador"|"1984"|64
"EGY"|"Egypt"|"2008"|66
"EGY"|"Egypt"|"2005"|59
"EGY"|"Egypt"|"2003"|56
"EGY"|"Egypt"|"2000"|37
"EGY"|"Egypt"|"1998"|33
"EGY"|"Egypt"|"1997"|32
"EGY"|"Egypt"|"1995"|28
"EGY"|"Egypt"|"1992"|23
"SLV"|"El Salvador"|"2003-2008"|78
"SLV"|"El Salvador"|"2002-2003"|71
"GNQ"|"Equatorial Guinea"|"2011"|67
"ERI"|"Eritrea"|"2010"|57
"ERI"|"Eritrea"|"2002"|41
"ERI"|"Eritrea"|"1995"|27
"ETH"|"Ethiopia"|"2011"|19
"ETH"|"Ethiopia"|"2005"|12
"ETH"|"Ethiopia"|"2000"|10
"FJI"|"Fiji"|"2013"|94
"GAB"|"Gabon"|"2012"|78
"GAB"|"Gabon"|"2000"|63
"GMB"|"Gambia"|"2010"|72
"GEO"|"Georgia"|"2012-2013"|84
"GEO"|"Georgia"|"2010"|90
"GEO"|"Georgia"|"2005"|75
"GHA"|"Ghana"|"2011"|87
"GHA"|"Ghana"|"2008"|78
"GHA"|"Ghana"|"2007"|77
"GHA"|"Ghana"|"2003"|69
"GHA"|"Ghana"|"1998"|62
"GHA"|"Ghana"|"1993"|59
"GIN"|"Guinea"|"2012"|57
"GIN"|"Guinea"|"2007"|50
"GIN"|"Guinea"|"2005"|49
"GIN"|"Guinea"|"1999"|46
"GIN"|"Guinea"|"1992"|25
"GNB"|"Guinea-Bissau"|"2010"|68
"GUY"|"Guyana"|"2009"|79
"HTI"|"Haiti"|"2012"|67
"HTI"|"Haiti"|"2005-2006"|54
"HTI"|"Haiti"|"2000"|44
