Year|Nominal|Real
1961|33.2|131.7
1962|32.8|128.0
1963|34.6|137.4
1964|36.3|142.2
1965|36.5|141.5
1966|37.0|138.2
1967|36.6|135.7
1968|35.0|130.8
1969|36.6|129.9
1970|38.4|128.3
1971|41.0|130.1
1972|44.3|128.8
1973|60.0|150.5
1974|86.2|177.4
1975|92.0|170.5
1976|79.5|145.5
1977|79.0|133.9
1978|87.9|128.2
1979|98.0|128.1
1980|109.1|129.7
1981|106.6|126.5
1982|93.8|114.8
1983|89.1|111.9
1984|91.9|118.1
1985|83.1|107.8
1986|82.4|93.0
1987|85.0|87.6
1988|95.9|92.8
1989|101.1|98.4
1990|107.2|100.4
1991|105.0|98.7
1992|109.2|101.1
1993|105.5|97.1
1994|110.3|101.3
1995|125.3|105.3
1996|131.1|113.7
1997|120.3|111.3
1998|108.6|105.6
1999|93.2|92.6
2000|91.1|92.4
2001|94.6|101.0
2002|89.6|96.2
2003|97.7|98.1
2004|112.7|105.0
2005|118.0|106.8
2006|127.2|112.7
2007|161.4|134.6
2008|201.4|155.7
2009|160.3|132.8
2010|188.0|150.7
2011|229.9|169.1
2012|213.3|158.8
2013|209.8|158.5
2014|201.8|152.0
2015|182.7|137.2
