"State"|"ST_CEN_CD"|"District"|"DT_CEN_CD"|"TRU"|"Households"|"Latrines"|"latrinepercent"
"Andaman & Nicober Islands"|35|"Nicobar"|638|"Total"|9959|8055|81%
"Andaman & Nicober Islands"|35|"Nicobar"|638|"Rural"|8055|8055|100%
"Andaman & Nicober Islands"|35|"Nicobar"|638|"Urban"|||
"Andaman & Nicober Islands"|35|"North & Middle Andaman"|639|"Total"|26327|12704|48%
"Andaman & Nicober Islands"|35|"North & Middle Andaman"|639|"Rural"|25586|12288|48%
"Andaman & Nicober Islands"|35|"North & Middle Andaman"|639|"Urban"|741|416|56%
"Andaman & Nicober Islands"|35|"South Andaman"|640|"Total"|57090|44691|78%
"Andaman & Nicober Islands"|35|"South Andaman"|640|"Rural"|23485|15197|65%
"Andaman & Nicober Islands"|35|"South Andaman"|640|"Urban"|33605|29494|88%
"Andhra Pradesh"|28|"Adilabad"|532|"Total"|651770|191052|29%
"Andhra Pradesh"|28|"Adilabad"|532|"Rural"|473949|65289|14%
"Andhra Pradesh"|28|"Adilabad"|532|"Urban"|177821|125763|71%
"Andhra Pradesh"|28|"Nizamabad"|533|"Total"|590733|245523|42%
"Andhra Pradesh"|28|"Nizamabad"|533|"Rural"|462799|136076|29%
"Andhra Pradesh"|28|"Nizamabad"|533|"Urban"|127934|109447|86%
"Andhra Pradesh"|28|"Karimnagar"|534|"Total"|980739|452865|46%
"Andhra Pradesh"|28|"Karimnagar"|534|"Rural"|746956|255524|34%
"Andhra Pradesh"|28|"Karimnagar"|534|"Urban"|233783|197341|84%
"Andhra Pradesh"|28|"Medak"|535|"Total"|666764|293838|44%
"Andhra Pradesh"|28|"Medak"|535|"Rural"|511576|162523|32%
"Andhra Pradesh"|28|"Medak"|535|"Urban"|155188|131315|85%
"Andhra Pradesh"|28|"Hyderabad"|536|"Total"|881512|868186|98%
"Andhra Pradesh"|28|"Hyderabad"|536|"Rural"|0|0|0
"Andhra Pradesh"|28|"Hyderabad"|536|"Urban"|881512|868186|98%
"Andhra Pradesh"|28|"Rangareddy"|537|"Total"|1263714|1028259|81%
"Andhra Pradesh"|28|"Rangareddy"|537|"Rural"|352247|153274|44%
"Andhra Pradesh"|28|"Rangareddy"|537|"Urban"|911467|874985|96%
"Andhra Pradesh"|28|"Mahbubnagar"|538|"Total"|875432|231015|26%
"Andhra Pradesh"|28|"Mahbubnagar"|538|"Rural"|750446|134686|18%
"Andhra Pradesh"|28|"Mahbubnagar"|538|"Urban"|123413|96329|78%
"Andhra Pradesh"|28|"Nalgonda"|539|"Total"|875432|355700|41%
"Andhra Pradesh"|28|"Nalgonda"|539|"Rural"|720569|230023|32%
"Andhra Pradesh"|28|"Nalgonda"|539|"Urban"|154863|125677|81%
"Andhra Pradesh"|28|"Warangal"|540|"Total"|888553|388583|44%
"Andhra Pradesh"|28|"Warangal"|540|"Rural"|652254|193970|30%
"Andhra Pradesh"|28|"Warangal"|540|"Urban"|236299|194613|82%
"Andhra Pradesh"|28|"Khammam"|541|"Total"|747586|360531|48%
"Andhra Pradesh"|28|"Khammam"|541|"Rural"|578490|216183|37%
"Andhra Pradesh"|28|"Khammam"|541|"Urban"|169096|144348|85%
"Andhra Pradesh"|28|"Srikakulam"|542|"Total"|689323|146386|21%
"Andhra Pradesh"|28|"Srikakulam"|542|"Rural"|580048|74367|13%
"Andhra Pradesh"|28|"Srikakulam"|542|"Urban"|109275|72019|66%
"Andhra Pradesh"|28|"Vizianagaram"|543|"Total"|596605|131289|22%
"Andhra Pradesh"|28|"Vizianagaram"|543|"Rural"|475145|50645|11%
"Andhra Pradesh"|28|"Vizianagaram"|543|"Urban"|121460|80644|66%
"Andhra Pradesh"|28|"Visakhapatnam"|544|"Total"|1126166|577722|51%
"Andhra Pradesh"|28|"Visakhapatnam"|544|"Rural"|583474|124676|21%
"Andhra Pradesh"|28|"Visakhapatnam"|544|"Urban"|542692|453046|83%
"Andhra Pradesh"|28|"East Godavari"|545|"Total"|1407410|800168|57%
"Andhra Pradesh"|28|"East Godavari"|545|"Rural"|1063044|499628|47%
"Andhra Pradesh"|28|"East Godavari"|545|"Urban"|344366|300540|87%
"Andhra Pradesh"|28|"West Godavari"|546|"Total"|1075780|694857|65%
"Andhra Pradesh"|28|"West Godavari"|546|"Rural"|870607|512818|59%
"Andhra Pradesh"|28|"West Godavari"|546|"Urban"|205173|182039|89%
"Andhra Pradesh"|28|"Krishna"|547|"Total"|1227257|863417|70%
"Andhra Pradesh"|28|"Krishna"|547|"Rural"|754361|423638|56%
"Andhra Pradesh"|28|"Krishna"|547|"Urban"|472896|439779|93%
"Andhra Pradesh"|28|"Guntur"|548|"Total"|1287831|762845|59%
"Andhra Pradesh"|28|"Guntur"|548|"Rural"|877109|408253|47%
"Andhra Pradesh"|28|"Guntur"|548|"Urban"|410722|354592|86%
"Andhra Pradesh"|28|"Prakasam"|549|"Total"|857276|321332|37%
"Andhra Pradesh"|28|"Prakasam"|549|"Rural"|692542|193809|28%
"Andhra Pradesh"|28|"Prakasam"|549|"Urban"|164734|127523|77%
"Andhra Pradesh"|28|"Sri Potti Sriramulu Nellore "|550|"Total"|772625|306095|40%
"Andhra Pradesh"|28|"Sri Potti Sriramulu Nellore "|550|"Rural"|567914|144760|25%
"Andhra Pradesh"|28|"Sri Potti Sriramulu Nellore "|550|"Urban"|204711|161335|79%
"Andhra Pradesh"|28|"Y.S.R "|551|"Total"|703136|314726|45%
"Andhra Pradesh"|28|"Y.S.R "|551|"Rural"|475919|135062|28%
"Andhra Pradesh"|28|"Y.S.R "|551|"Urban"|227217|179664|79%
"Andhra Pradesh"|28|"Kurnool "|552|"Total"|877182|353289|40%
"Andhra Pradesh"|28|"Kurnool "|552|"Rural"|630786|174207|28%
"Andhra Pradesh"|28|"Kurnool "|552|"Urban"|246396|179082|73%
"Andhra Pradesh"|28|"Anantapu "|553|"Total"|961165|353948|37%
"Andhra Pradesh"|28|"Anantapu "|553|"Rural"|698439|153780|22%
"Andhra Pradesh"|28|"Anantapu "|553|"Urban"|262726|200168|76%
"Andhra Pradesh"|28|"Chittoor "|554|"Total"|1022116|382377|37%
"Andhra Pradesh"|28|"Chittoor "|554|"Rural"|727635|142429|20%
"Andhra Pradesh"|28|"Chittoor "|554|"Urban"|294481|239948|81%
"Arunachal Pradesh"|12|"Tawang "|245|"Total"|9477|7026|74%
"Arunachal Pradesh"|12|"Tawang "|245|"Rural"|7891|5480|69%
"Arunachal Pradesh"|12|"Tawang "|245|"Urban"|1586|1546|97%
"Arunachal Pradesh"|12|"West Kameng"|246|"Total"|16405|8253|50%
"Arunachal Pradesh"|12|"West Kameng"|246|"Rural"|12542|4876|39%
"Arunachal Pradesh"|12|"West Kameng"|246|"Urban"|3863|3377|87%
"Arunachal Pradesh"|12|"East Kameng"|247|"Total"|14610|4703|32%
"Arunachal Pradesh"|12|"East Kameng"|247|"Rural"|11078|2442|22%
"Arunachal Pradesh"|12|"East Kameng"|247|"Urban"|3532|2261|64%
"Arunachal Pradesh"|12|"Papum Pare"|248|"Total"|33476|25706|77%
"Arunachal Pradesh"|12|"Papum Pare"|248|"Rural"|13537|7413|55%
"Arunachal Pradesh"|12|"Papum Pare"|248|"Urban"|19939|18293|92%
"Arunachal Pradesh"|12|"Upper Subansiri"|249|"Total"|15541|6658|43%
"Arunachal Pradesh"|12|"Upper Subansiri"|249|"Rural"|12952|4455|34%
"Arunachal Pradesh"|12|"Upper Subansiri"|249|"Urban"|2589|2203|85%
"Arunachal Pradesh"|12|"West Siang"|250|"Total"|20474|15800|77%
"Arunachal Pradesh"|12|"West Siang"|250|"Rural"|15387|10936|71%
"Arunachal Pradesh"|12|"West Siang"|250|"Urban"|5087|4864|96%
"Arunachal Pradesh"|12|"East Siang"|251|"Total"|19095|11735|61%
"Arunachal Pradesh"|12|"East Siang"|251|"Rural"|12904|6119|47%
"Arunachal Pradesh"|12|"East Siang"|251|"Urban"|6191|5616|91%
"Arunachal Pradesh"|12|"Upper Siang "|252|"Total"|7186|4413|61%
"Arunachal Pradesh"|12|"Upper Siang "|252|"Rural"|5652|3183|56%
"Arunachal Pradesh"|12|"Upper Siang "|252|"Urban"|1534|1230|80%
"Arunachal Pradesh"|12|"Changlang "|253|"Total"|28428|19606|69%
"Arunachal Pradesh"|12|"Changlang "|253|"Rural"|24444|15970|65%
"Arunachal Pradesh"|12|"Changlang "|253|"Urban"|3984|3636|91%
"Arunachal Pradesh"|12|"Tirap"|254|"Total"|19485|16937|87%
"Arunachal Pradesh"|12|"Tirap"|254|"Rural"|15458|13235|86%
"Arunachal Pradesh"|12|"Tirap"|254|"Urban"|4027|3702|92%
"Arunachal Pradesh"|12|"Lower Subansiri"|255|"Total"|15134|11232|74%
"Arunachal Pradesh"|12|"Lower Subansiri"|255|"Rural"|12066|8211|68%
"Arunachal Pradesh"|12|"Lower Subansiri"|255|"Urban"|3068|3021|98%
"Arunachal Pradesh"|12|"Kurung Kumey "|256|"Total"|15962|4066|25%
"Arunachal Pradesh"|12|"Kurung Kumey "|256|"Rural"|15417|3627|24%
"Arunachal Pradesh"|12|"Kurung Kumey "|256|"Urban"|545|439|81%
"Arunachal Pradesh"|12|"Dibang Valley "|257|"Total"|1871|1311|70%
"Arunachal Pradesh"|12|"Dibang Valley "|257|"Rural"|1297|839|65%
"Arunachal Pradesh"|12|"Dibang Valley "|257|"Urban"|574|472|82%
"Arunachal Pradesh"|12|"Lower Dibang Valley "|258|"Total"|10883|6143|56%
"Arunachal Pradesh"|12|"Lower Dibang Valley "|258|"Rural"|8626|4143|48%
"Arunachal Pradesh"|12|"Lower Dibang Valley "|258|"Urban"|2257|2000|89%
"Arunachal Pradesh"|12|"Lohit"|259|"Total"|29407|17327|59%
"Arunachal Pradesh"|12|"Lohit"|259|"Rural"|22412|11087|49%
"Arunachal Pradesh"|12|"Lohit"|259|"Urban"|6995|6240|89%
"Arunachal Pradesh"|12|"Anjaw"|260|"Total"|4180|1200|29%
"Arunachal Pradesh"|12|"Anjaw"|260|"Rural"|4060|1123|28%
"Arunachal Pradesh"|12|"Anjaw"|260|"Urban"|120|77|64%
"Assam"|18|"Kokrajhar"|300|"Total"|180071|52532|29%
"Assam"|18|"Kokrajhar"|300|"Rural"|168278|41904|25%
"Assam"|18|"Kokrajhar"|300|"Urban"|11793|10628|90%
"Assam"|18|"Dhubri"|301|"Total"|414689|179665|43%
"Assam"|18|"Dhubri"|301|"Rural"|370734|144461|39%
"Assam"|18|"Dhubri"|301|"Urban"|43955|35204|80%
"Assam"|18|"Goalpara"|302|"Total"|197545|129311|65%
"Assam"|18|"Goalpara"|302|"Rural"|168874|104937|62%
"Assam"|18|"Goalpara"|302|"Urban"|28671|24374|85%
"Assam"|18|"Barpeta"|303|"Total"|338472|243504|72%
"Assam"|18|"Barpeta"|303|"Rural"|306688|213994|70%
"Assam"|18|"Barpeta"|303|"Urban"|31784|29510|93%
"Assam"|18|"Marigaon"|304|"Total"|185523|111528|60%
"Assam"|18|"Marigaon"|304|"Rural"|169007|96614|57%
"Assam"|18|"Marigaon"|304|"Urban"|16516|14914|90%
"Assam"|18|"Nagaon"|305|"Total"|560857|422431|75%
"Assam"|18|"Nagaon"|305|"Rural"|480208|345629|72%
"Assam"|18|"Nagaon"|305|"Urban"|80649|76802|95%
"Assam"|18|"Sonitpu"|306|"Total"|386899|228882|59%
"Assam"|18|"Sonitpu"|306|"Rural"|346401|190422|55%
"Assam"|18|"Sonitpu"|306|"Urban"|40498|38460|95%
"Assam"|18|"Lakhimpu "|307|"Total"|203272|117971|58%
"Assam"|18|"Lakhimpu "|307|"Rural"|181790|97627|54%
"Assam"|18|"Lakhimpu "|307|"Urban"|21482|20344|95%
"Assam"|18|"Dhemaji "|308|"Total"|129559|57995|45%
"Assam"|18|"Dhemaji "|308|"Rural"|119112|48003|40%
"Assam"|18|"Dhemaji "|308|"Urban"|10447|9992|96%
"Assam"|18|"Tinsukia "|309|"Total"|268383|217556|81%
"Assam"|18|"Tinsukia "|309|"Rural"|209603|162008|77%
"Assam"|18|"Tinsukia "|309|"Urban"|58780|55548|95%
"Assam"|18|"Dibrugarh "|310|"Total"|272941|214721|79%
"Assam"|18|"Dibrugarh "|310|"Rural"|218256|161992|74%
"Assam"|18|"Dibrugarh "|310|"Urban"|58780|52729|90%
"Assam"|18|"Sibasagar "|311|"Total"|246983|183253|74%
"Assam"|18|"Sibasagar "|311|"Rural"|220760|158805|72%
"Assam"|18|"Sibasagar "|311|"Urban"|26233|24448|93%
"Assam"|18|"Jorhat "|312|"Total"|233118|155435|67%
"Assam"|18|"Jorhat "|312|"Rural"|181811|107081|59%
"Assam"|18|"Jorhat "|312|"Urban"|51307|48354|94%
