"State Code"|"State Name"|"District Code"|"District Name"|"TRU"|"Water-in-premises"|"Water.out.premises"|"Unimproved.sanitation"|"Unsafe.drainage"
"01"|"JAMMU & KASHMIR"|"001"|"Kupwara"|"Total"|21.3|78.7|75.8|96.2
"01"|"JAMMU & KASHMIR"|"001"|"Kupwara"|"Rural"|19|81|78|96.4
"01"|"JAMMU & KASHMIR"|"001"|"Kupwara"|"Urban"|43.9|56.1|53.8|94.7
"01"|"JAMMU & KASHMIR"|"002"|"Badgam"|"Total"|51.8|48.2|64.2|86.5
"01"|"JAMMU & KASHMIR"|"002"|"Badgam"|"Rural"|48.3|51.7|68.1|88.8
"01"|"JAMMU & KASHMIR"|"002"|"Badgam"|"Urban"|74.4|25.6|37.8|71
"01"|"JAMMU & KASHMIR"|"003"|"Leh(Ladakh)"|"Total"|14.6|85.4|24.1|91.2
"01"|"JAMMU & KASHMIR"|"003"|"Leh(Ladakh)"|"Rural"|10.5|89.5|26.8|96.3
"01"|"JAMMU & KASHMIR"|"003"|"Leh(Ladakh)"|"Urban"|24.2|75.8|17|79.3
"01"|"JAMMU & KASHMIR"|"004"|"Kargil"|"Total"|10.8|89.2|37.5|86.2
"01"|"JAMMU & KASHMIR"|"004"|"Kargil"|"Rural"|7.3|92.7|43.4|91
"01"|"JAMMU & KASHMIR"|"004"|"Kargil"|"Urban"|30.1|69.9|5.2|59.1
"01"|"JAMMU & KASHMIR"|"005"|"Punch"|"Total"|19.2|80.8|82.6|96.9
"01"|"JAMMU & KASHMIR"|"005"|"Punch"|"Rural"|14.6|85.4|87.5|98
"01"|"JAMMU & KASHMIR"|"005"|"Punch"|"Urban"|72|28|26.7|83.8
"01"|"JAMMU & KASHMIR"|"006"|"Rajouri"|"Total"|15.2|84.8|86.6|97.4
"01"|"JAMMU & KASHMIR"|"006"|"Rajouri"|"Rural"|11.5|88.5|90.2|98.3
"01"|"JAMMU & KASHMIR"|"006"|"Rajouri"|"Urban"|78.1|21.9|25.5|83.2
"01"|"JAMMU & KASHMIR"|"007"|"Kathua"|"Total"|44.1|55.9|78.8|94.9
