"Member.Country"|"Child.population.6to12"|"general.population"|"median.urinary.iodine"|"iodine.deficiency.proportion"|"iodine.deficiency.child.population"|"iodine.deficiency.general.population"
"Afghanistan"|6167|31082|49|71.9|4434|22348
"Albania"|400|3147||||
"Algeria"|4418|33354|26.6|77.7|3433|25916
"Andorra"|5|67||||
"Angola"|3204|16400||||
"Antigua and Barbuda"|11|82||||
"Argentina"|4814|39134||||
"Armenia"|294|3007|313|6.3|19|189
"Australia"|1869|20366|104|46.3|865|9430
"Austria"|603|8205|111|49.4|298|4053
"Azerbaijan"|1021|8471|54|74.4|760|6303
"Bahamas"|43|327||||
"Bahrain"|93|739|204|16.2|15|120
"Bangladesh"|23255|144437|126|42.5|9884|61386
"Barbados"|24|270|||0|0
"Belarus"|647|9700|45|80.9|523|7847
"Belgium"|821|10437|80|66.9|549|6982
"Belize"|46|275|184|26.7|12|73
"Benin"|1661|8703|293|8.3|138|722
"Bhutan"|378|2211|217|13.5|51|298
"Bolivia"|1610|9354|250|19.0|306|1777
"Bosnia and Herzegovina"|312|3912|157|22.2|69|869
"Botswana"|309|1760|219|15.3|47|269
"Brazil"|23883|188883|360|0.0|0|0
"Brunei Darussalam"|50|382||||
"Bulgaria"|473|7671|198|6.9|33|529
"Burkina Faso"|2744|13634|114|47.1|1293|6422
"Burundi"|1471|7834|70.0|60.5|890|4740
"Cambodia"|2347|14351||||
"Cameroon"|3034|16601|51.5|91.7|2782|15223
"Canada"|2723|32566||||
"Cape Verde"|91|519|52|77.4|70|401
"Central African Republic"|783|4093|21|79.5|622|3254
"Chad"|1998|10032|213|29.4|587|2950
"Chile"|1920|16465|984|0.2|4|33
"China"|133415|1331217|246|15.7|20946|209001
"Colombia"|6633|46279|249|6.4|425|2962
"Comoros"|151|819||||
"Congo"|834|4117||||
"Cook Islands"|2|18||||
"Costa Rica"|575|4399|233|8.9|51|391
"Cote d’Ivoire"|3426|18454|203|27.6|946|5093
"Croatia"|341|4556|140|28.8|98|1312
"Cuba"|991|11294|95|51.0|505|5760
"Cyprus"|79|845||||
"Czech Republic"|685|10209|119|47.7|327|4870
"Democratic People’s Republic of Korea"|2705|22583||||
"Democratic Republic of the Congo"|11671|59320|495|10.1|1179|5991
"Denmark"|491|5446|61|70.8|348|3856
"Djibouti"|149|807||||
"Dominica"|11|80||||
"Dominican Republic"|1336|9021|39|86.0|1149|7758
"Ecuador"|2004|13419|420|0.0|0|0
"Egypt"|11218|75437|148|31.2|3500|23536
"El Salvador"|1092|6999|150|4.6|50|322
"Equatorial Guinea"|98|515||||
"Eritrea"|889|4560|168|25.3|225|1154
"Estonia"|88|1325|65|67.0|59|888
"Ethiopia"|15434|79289|58|68.4|10557|54234
"Fiji"|125|854|34|75.4|94|644
"Finland"|432|5262|164|35.5|153|1868
"France"|5085|60723|85|60.4|3071|36677
"Gabon"|256|1406|190|30.5|78|429
"Gambia"|274|1556|41.8|72.8|200|1133
"Georgia"|391|4434|62|80.0|313|3547
"Germany"|5645|82716|148|27.0|1524|22333
"Ghana"|3918|22556|53.5|71.3|2794|16082
"Greece"|746|11140||||
"Grenada"|14|104||||
"Guatemala"|2479|12911|222|14.4|357|1859
"Guinea"|1822|9603|139|32.4|590|3112
"Guinea- Bissau"|326|1634||||
"Guyana"|102|752|162|26.9|28|202
"Haiti"|1434|8650|84|58.9|845|5095
"Honduras"|1313|7362|240|31.3|411|2304
"Hungary"|747|10071|80|65.2|487|6566
"Iceland"|31|297|150|37.7|12|112
"India"|164371|1119538|133|31.3|51399|350080
"Indonesia"|29001|225465|229|16.3|4727|36751
"Iran (Islamic Republic of)"|8955|70324|165|19.7|1764|13854
"Iraq"|5403|29551||||
"Ireland"|373|4210|82|60.8|227|2560
"Israel"|866|6847||||
"Italy"|3810|58140|94|55.7|2122|32384
"Jamaica"|395|2662||||
"Japan"|8402|128219||||
"Jordan"|1005|5837|154|24.4|245|1424
"Kazakhstan"|1536|14812|97|53.1|816|7865
"Kenya"|6371|35106|118|36.8|2345|12919
"Kiribati"|12|101|||0|0
"Kuwait"|298|2765|147|31.4|93|868
"Kyrgyzstan"|761|5325|30|88.1|671|4691
"Lao People’s Democratic Republic"|1088|6058|162|26.9|293|1630
"Latvia"|148|2295|59|76.8|114|1763
"Lebanon"|492|3614|95|55.5|273|2006
"Lesotho"|316|1791|215|21.5|68|385
"Liberia"|664|3356|321|3.5|23|117
"Libyan Arab Jamahiriya"|790|5968||||
"Lithuania"|271|3417|75|62.0|168|2119
"Luxembourg"|42|471|148|30.7|13|145
"Madagascar"|3708|19105||||
"Malawi"|2761|13166||||
"Malaysia"|3892|25796|91|57.0|2218|14704
"Maldives"|62|337|115|43.1|27|145
"Mali"|2869|13918|68.6|68.3|1959|9506
"Malta"|34|403||||
"Marshall Islands"|7|64||||
"Mauritania"|581|3158|55|69.8|405|2204
"Mauritius"|145|1256|154|4.4|6|55
"Mexico"|15550|108327|235|8.5|1322|9208
"Micronesia (Federated States of)"|19|111||||
"Monaco"|3|36||||
"Mongolia"|363|2679|96.8|52.8|191|1414
"Montenegro1"|55|608||||
"Morocco"|4472|31943|75|63.0|2818|20124
"Mozambique"|3902|20158|60.3|68.1|2657|13728
"Myanmar"|7029|51009|205|22.3|1567|11375
"Namibia"|403|2052|216|28.7|116|589
"Nauru"|2|14||||
"Nepal"|4959|27678|188|27.4|1359|7584
"Netherlands"|1395|16367|154|37.5|523|6137
"New Zealand"|405|4063|66|65.4|265|2657
"Nicaragua"|994|5600|271|0.0|0|0
"Niger"|2951|14426|270|0.0|0|0
"Nigeria"|25852|134375|130|40.4|10444|54287
"Niue"|0|1||||
"Norway"|435|4643||||
"Oman"|411|2612|91|49.8|205|1301
"Pakistan"|27636|161209|75|63.6|17577|102529
"Palau"|2|20||||
"Panama"|454|3288|235|8.6|39|283
"Papua New Guinea"|1120|6001|181|27.7|310|1662
"Paraguay"|1061|6301|294|13.4|142|844
"Peru"|4219|28380|180|10.4|439|2952
"Philippines"|13634|84477|201|23.8|3245|20105
"Poland"|2951|38499|84|64.0|1889|24639
"Portugal"|778|10545||||
"Qatar"|80|839|203|30.0|24|252
"Republic of Korea"|4437|47983||||
"Republic of Moldova"|358|4195|78|62.0|222|2601
"Romania"|1505|21629|102|46.9|706|10144
"Russian Federation"|9371|142537|93|56.2|5266|80106
"Rwanda"|1706|9230|298|0.0|0|0
"Saint Kitts and Nevis"|6|43||||
"Saint Lucia"|21|162||||
"Saint Vincent and the Grenadines"|16|120||||
"Samoa"|36|186||||
"San Marino"|2|28||||
"Sao Tome and Principe"|28|160||||
"Saudi Arabia"|4269|25193|180|23.0|982|5794
"Senegal"|2232|11936|45|75.7|1689|9035
"Serbia"|845|9863|158|20.8|176|2052
"Seychelles"|15|81||||
"Sierra Leone"|1023|5679||||
"Singapore"|431|4380||||
"Slovakia"|427|5401|183|15.0|64|810
"Slovenia"|126|1966||||
"Solomon Islands"|89|490||||
"Somalia"|1591|8496||||
"South Africa"|7185|47594|177|29.0|2084|13802
"Spain"|2785|43379|109|50.1|1395|21733
"Sri Lanka"|2326|20912|153|30.0|698|6274
"Sudan"|6480|36992|75|62.0|4017|22935
"Suriname"|63|452||||
"Swaziland"|195|1029|170|34.5|67|355
"Sweden"|733|9070||||
"Switzerland"|579|7264|141|24.0|139|1743
"Syrian Arab Republic"|3182|19512||||
"Tajikistan"|1178|6591||||
"Thailand"|7116|64762|150|34.9|2484|22602
"The former Yugoslav Republic of Macedonia"|189|2037|228|8.7|16|177
"Timor Leste"|145|1007||||
"Togo"|1199|6306|171|6.2|74|391
"Tonga"|17|103||||
"Trinidad and Tobago"|126|1309||||
"Tunisia"|1214|10210|164|26.4|320|2696
"Turkey"|10024|74175|75|60.9|6104|45173
"Turkmenistan"|704|4899|170|18.7|132|916
"Tuvalu"|1|10||||
"Uganda"|6296|29857|464|3.9|246|1164
"Ukraine"|3142|45986|50|70.1|2202|32236
"United Arab Emirates"|461|4657|91|56.6|261|2636
"United Kingdom of Great Britain and Northern Ireland"|5030|59847||||
"United Republic of Tanzania"|7345|39025|127|37.7|2769|14712
"United States of America"|28845|301029|249|15.9|4586|47864
"Uruguay"|393|3487||||
"Uzbekistan"|4054|26980|141|39.8|1613|10738
"Vanuatu"|39|215||||
"Venezuela"|3848|27216|286|0.0|0|0
"Viet Nam"|11409|85344|40|84.0|9583.0|71689.0
"Yemen"|4381|21639|173|30.2|1323|6535
"Zambia"|2385|11861|60|72.0|1717|8540
"Zimbabwe"|2379|13085|245|14.8|352|1937
