Date|Food|Meat|Dairy|Cereals|Oils|Sugar
1/1990|105.3|108.8|91.3|103.1|70.8|195.3
2/1990|106.5|114.0|89.1|100.7|70.3|201.4
3/1990|104.5|115.9|71.3|98.9|72.3|211.2
4/1990|110.7|127.0|82.6|101.9|69.6|209.6
5/1990|107.7|126.5|67.9|102.1|72.1|200.8
6/1990|105.9|128.6|67.9|99.9|69.5|178.3
7/1990|102.8|127.2|67.9|93.8|69.4|164.9
8/1990|100.1|126.0|64.0|90.6|71.9|150.3
9/1990|101.2|132.7|66.2|84.5|70.9|152.2
10/1990|99.9|130.5|67.6|85.8|72.2|135.0
11/1990|99.4|126.8|68.6|85.0|76.1|138.5
12/1990|102.1|130.2|77.7|85.3|78.0|133.9
1/1991|101.7|127.2|81.9|87.8|78.5|122.1
2/1991|103.6|133.2|81.4|89.2|76.8|118.1
3/1991|102.7|127.4|79.7|92.1|77.3|126.8
4/1991|99.7|123.1|74.7|93.1|74.7|118.1
5/1991|98.6|124.7|73.3|92.0|73.9|105.2
6/1991|100.1|123.9|75.1|91.2|74.2|127.7
7/1991|100.5|124.1|69.9|90.3|76.9|143.1
8/1991|100.8|122.6|72.2|94.3|78.4|131.3
9/1991|102.8|125.3|78.7|95.0|77.7|128.9
10/1991|106.4|128.5|84.7|98.5|82.1|126.6
11/1991|107.5|131.1|88.1|98.6|82.9|120.2
12/1991|108.0|128.6|88.1|101.7|84.2|124.9
1/1992|105.8|124.1|89.4|101.9|83.5|113.3
2/1992|106.9|126.9|89.4|105.0|81.8|106.8
3/1992|106.5|123.9|88.6|105.0|84.7|112.0
4/1992|105.5|121.4|88.6|100.3|84.3|128.9
5/1992|105.7|120.9|92.2|98.8|84.6|130.6
6/1992|108.0|122.8|97.3|98.1|85.7|141.1
7/1992|106.0|122.0|98.1|93.9|81.0|140.5
8/1992|104.0|122.8|96.0|89.3|79.2|133.9
9/1992|104.0|119.6|98.8|92.6|81.1|126.8
10/1992|102.2|118.9|93.1|92.7|81.1|118.7
11/1992|103.4|121.9|90.8|93.9|83.8|116.8
12/1992|99.7|114.3|89.9|93.1|82.2|111.0
1/1993|97.8|113.4|86.7|90.5|80.9|108.5
2/1993|98.0|113.1|87.9|89.5|81.1|112.7
3/1993|99.7|113.5|86.9|89.4|79.5|139.9
4/1993|98.7|110.9|85.5|88.6|78.9|146.8
5/1993|99.0|113.1|84.3|85.7|77.6|155.8
6/1993|97.2|115.5|84.3|81.7|76.7|136.8
7/1993|97.5|114.7|81.1|86.5|80.2|127.5
8/1993|95.2|110.0|78.2|87.9|79.0|123.0
9/1993|95.3|110.0|73.8|90.6|78.7|125.6
10/1993|96.3|110.4|67.4|95.5|77.8|135.5
11/1993|99.2|110.5|67.8|103.3|84.1|133.3
12/1993|100.8|106.7|68.8|106.4|95.2|138.5
1/1994|104.0|108.0|77.0|109.2|98.8|139.8
2/1994|103.4|108.7|76.9|106.8|93.9|146.9
3/1994|103.0|107.4|77.6|102.4|95.4|159.4
4/1994|100.8|107.1|71.2|99.7|99.0|149.5
5/1994|103.7|112.2|71.2|98.5|105.2|157.2
6/1994|103.1|108.7|75.6|96.0|105.9|163.6
7/1994|100.6|108.1|76.4|89.2|103.8|159.8
8/1994|103.8|110.4|77.9|91.1|113.2|164.3
9/1994|107.8|109.7|83.9|95.8|124.3|170.9
10/1994|109.0|110.2|87.5|97.8|121.9|173.1
11/1994|113.8|114.9|89.2|96.8|136.4|189.3
12/1994|113.6|108.9|92.4|99.1|136.5|199.2
1/1995|104.0|100.3|90.7|90.5|116.2|182.5
2/1995|106.4|106.5|94.9|89.9|116.2|178.2
3/1995|108.6|110.2|97.8|89.4|118.3|180.4
4/1995|105.3|106.8|96.0|90.2|109.3|169.4
5/1995|105.3|105.5|95.5|93.9|107.6|167.2
6/1995|107.0|103.2|95.6|99.1|112.3|173.4
7/1995|111.8|109.1|98.8|106.2|116.9|168.1
8/1995|110.7|109.8|100.9|104.2|111.8|160.5
9/1995|111.2|112.6|101.5|108.6|107.4|144.6
10/1995|113.9|113.1|102.2|114.5|112.4|146.4
11/1995|113.4|111.6|102.2|114.8|111.1|148.2
12/1995|112.4|107.7|101.4|117.9|106.3|152.2
1/1996|116.4|116.1|103.2|121.4|101.8|158.0
2/1996|117.0|116.0|102.4|124.6|99.1|161.5
3/1996|118.2|119.5|99.1|126.8|98.5|162.8
4/1996|120.5|116.2|98.3|139.1|106.1|151.0
5/1996|123.1|121.5|95.2|146.0|106.1|143.6
6/1996|120.8|121.4|95.2|138.0|99.9|153.4
7/1996|119.6|121.6|95.3|133.2|96.1|161.5
8/1996|119.3|126.2|94.2|126.2|100.0|156.0
9/1996|115.0|126.6|93.9|110.3|103.0|150.3
10/1996|110.9|121.9|94.8|105.1|99.7|140.2
11/1996|108.2|119.4|93.3|99.7|101.0|135.1
12/1996|108.3|118.7|94.3|100.1|101.4|135.4
1/1997|111.7|118.0|100.5|105.1|107.4|141.4
2/1997|113.0|120.4|100.1|105.9|108.6|143.0
3/1997|115.7|125.9|99.2|109.2|106.7|147.0
4/1997|116.4|127.3|98.2|109.8|107.4|149.5
5/1997|115.7|128.4|97.2|106.7|107.7|147.4
6/1997|111.8|122.6|96.8|100.9|104.2|151.2
7/1997|109.2|121.2|96.4|96.7|99.0|148.4
8/1997|110.6|120.4|95.4|101.6|99.2|154.8
9/1997|110.4|118.6|98.2|101.0|103.0|149.9
10/1997|111.2|115.4|101.3|102.2|109.8|151.0
11/1997|112.0|114.9|102.6|100.3|115.4|158.9
12/1997|108.7|106.4|102.6|98.8|113.3|163.1
1/1998|112.1|107.8|107.1|102.1|124.1|159.8
2/1998|111.2|107.9|103.8|102.1|127.7|148.3
3/1998|110.7|108.7|100.6|102.6|131.5|136.1
4/1998|109.6|108.7|99.6|98.8|133.7|134.1
5/1998|108.3|105.4|97.8|97.8|139.7|127.7
6/1998|105.7|107.8|95.8|96.2|128.6|112.1
7/1998|104.6|104.6|96.2|93.6|129.8|119.5
8/1998|102.1|102.1|96.3|88.0|129.5|117.3
9/1998|100.8|102.5|93.6|87.6|132.2|100.0
10/1998|101.9|101.5|90.8|93.8|132.3|103.2
11/1998|101.7|98.9|90.5|94.9|132.0|111.5
12/1998|101.4|100.3|91.1|92.9|128.7|111.7
1/1999|101.7|100.0|92.4|95.3|123.9|114.4
2/1999|97.2|99.9|90.7|91.8|110.2|96.2
3/1999|94.9|100.0|88.5|92.2|100.4|84.9
4/1999|92.7|97.8|84.1|90.2|104.5|76.5
5/1999|92.0|98.1|83.3|88.5|100.3|81.1
6/1999|91.3|99.5|82.5|89.4|88.8|85.1
7/1999|88.6|100.4|81.2|86.3|78.7|75.9
8/1999|91.4|103.0|81.8|88.8|84.8|81.1
9/1999|92.2|101.0|83.2|88.3|87.8|94.1
10/1999|90.9|99.2|84.0|86.0|86.0|95.5
11/1999|90.3|99.4|85.0|85.1|83.5|91.7
12/1999|88.2|96.6|86.3|83.3|80.6|84.8
1/2000|88.4|93.6|89.6|87.2|80.0|80.2
2/2000|89.3|98.2|88.9|88.3|76.4|75.6
3/2000|89.7|100.0|88.3|87.2|78.3|73.4
4/2000|90.2|97.2|88.7|87.8|80.8|86.0
5/2000|90.5|98.2|89.2|88.3|72.7|98.7
6/2000|92.0|99.0|93.7|85.8|69.8|119.6
7/2000|92.8|98.7|97.9|81.9|69.4|137.6
8/2000|92.5|96.3|99.1|80.7|67.7|149.2
9/2000|92.0|95.1|101.8|82.8|62.5|143.3
10/2000|93.9|95.1|104.3|87.1|59.4|153.6
11/2000|93.8|95.5|104.3|88.4|61.3|141.9
12/2000|96.0|99.0|105.1|90.9|61.6|143.2
1/2001|97.5|96.6|108.3|94.4|62.5|153.2
2/2001|98.5|103.3|107.8|92.8|59.8|146.6
3/2001|99.8|107.9|108.4|92.0|63.6|137.7
4/2001|97.9|106.8|107.3|89.5|63.0|129.8
5/2001|100.2|109.4|111.7|89.8|60.3|142.3
6/2001|99.3|107.0|113.2|88.8|64.4|134.2
7/2001|101.9|106.4|114.2|91.8|79.0|130.5
8/2001|101.2|106.2|113.3|90.9|83.3|120.4
9/2001|99.2|106.3|112.5|90.1|75.1|113.4
10/2001|97.2|104.4|114.0|89.0|71.4|100.8
11/2001|97.9|101.9|110.5|90.2|78.7|113.9
12/2001|97.0|100.5|103.7|90.6|82.4|116.2
1/2002|95.9|99.4|98.0|91.8|81.5|116.9
2/2002|93.3|98.5|97.2|89.9|79.1|98.3
3/2002|93.7|101.9|92.7|89.1|78.8|100.6
4/2002|91.7|97.3|89.8|87.5|81.7|103.4
5/2002|90.1|95.1|82.6|89.9|86.4|91.2
6/2002|91.4|96.5|79.7|92.4|93.6|86.4
7/2002|93.0|96.0|76.8|98.0|94.5|95.9
8/2002|94.4|93.2|75.8|105.0|100.3|94.5
9/2002|97.6|92.9|78.3|115.2|95.7|104.5
10/2002|98.0|90.4|80.4|114.5|99.3|112.8
11/2002|99.8|91.5|84.5|111.3|108.1|117.6
12/2002|99.4|89.5|91.4|105.9|111.3|119.4
1/2003|94.9|86.9|90.3|98.2|103.2|116.9
2/2003|96.6|88.8|92.8|98.6|100.3|128.5
3/2003|95.1|89.5|93.9|96.8|95.6|117.5
4/2003|94.5|90.3|92.1|96.3|95.9|110.7
5/2003|95.7|92.5|92.3|99.0|98.3|102.4
6/2003|95.4|93.2|92.3|97.9|99.8|95.9
7/2003|96.2|98.4|94.0|95.0|95.0|97.7
8/2003|97.8|99.6|95.2|99.8|92.6|97.5
9/2003|100.1|104.8|98.6|100.5|96.8|85.4
10/2003|102.4|104.0|102.7|100.9|109.9|85.1
11/2003|104.9|105.1|104.3|106.1|111.9|86.8
12/2003|106.4|104.4|106.2|108.5|116.2|89.7
1/2004|101.8|102.9|101.2|103.9|108.1|77.6
2/2004|103.4|100.7|106.0|105.8|115.5|78.1
3/2004|107.3|106.2|107.7|109.3|116.9|86.3
4/2004|107.7|104.6|109.2|111.6|116.6|87.9
5/2004|106.3|102.9|112.7|109.8|111.3|84.7
6/2004|107.9|111.3|117.8|105.1|100.0|92.7
7/2004|107.0|111.8|121.4|96.1|98.9|105.8
8/2004|105.9|110.8|121.8|93.8|99.8|101.3
9/2004|106.3|110.8|122.7|93.9|100.6|102.8
10/2004|105.8|108.5|123.5|92.7|98.9|113.0
11/2004|107.1|110.2|125.8|94.1|100.4|109.1
12/2004|107.3|110.2|126.2|94.8|98.7|110.3
1/2005|104.2|107.2|122.7|92.4|91.5|113.0
2/2005|103.8|106.8|122.1|91.3|90.1|118.0
3/2005|106.4|110.0|122.7|93.8|97.3|115.1
4/2005|104.7|109.5|121.9|90.6|95.0|111.3
5/2005|106.1|114.3|122.9|89.6|93.5|111.3
6/2005|107.7|116.3|122.7|91.2|94.4|117.3
7/2005|108.1|114.3|123.6|92.8|94.0|124.9
8/2005|107.9|114.4|125.1|91.3|91.2|128.8
9/2005|109.7|116.3|125.7|93.1|92.8|133.6
10/2005|111.6|116.2|125.5|95.4|97.5|144.1
11/2005|110.5|115.2|124.5|93.2|95.6|147.5
12/2005|112.3|115.2|123.1|95.5|92.4|173.0
1/2006|108.8|105.0|116.5|93.7|90.7|199.1
2/2006|111.8|104.5|116.3|97.1|92.6|226.8
3/2006|109.5|101.2|114.8|96.2|92.6|217.9
4/2006|110.3|102.3|112.8|97.6|94.1|221.1
5/2006|111.5|103.9|112.6|101.1|96.5|212.6
6/2006|111.3|107.5|112.4|100.9|96.4|194.7
7/2006|114.1|109.5|112.6|104.1|100.5|202.9
8/2006|113.3|113.7|111.9|103.0|104.8|170.1
9/2006|113.1|114.1|112.5|107.2|101.9|152.7
10/2006|115.6|112.1|115.0|117.9|103.6|147.1
11/2006|119.2|110.1|119.7|126.4|112.0|148.9
12/2006|120.8|108.5|128.8|125.7|118.8|146.3
1/2007|113.1|100.3|124.7|118.6|111.2|130.4
2/2007|115.4|101.1|130.3|122.9|112.6|125.9
3/2007|116.9|102.2|136.9|121.9|114.8|124.4
4/2007|120.5|104.8|152.9|118.4|125.9|115.8
5/2007|124.4|108.0|159.1|120.9|135.6|112.3
6/2007|132.2|111.1|183.1|127.8|141.8|110.7
7/2007|138.2|112.5|205.2|128.8|146.5|121.1
8/2007|143.2|114.7|215.8|136.6|151.4|116.8
9/2007|150.6|116.7|223.3|153.1|157.8|116.2
10/2007|153.1|113.3|225.4|159.7|167.4|119.1
11/2007|157.6|117.5|228.1|161.4|182.9|120.3
12/2007|160.9|115.6|222.5|176.3|185.2|127.6
1/2008|157.0|111.6|200.0|177.3|190.9|132.4
2/2008|168.4|112.4|198.5|205.4|210.0|149.3
3/2008|171.3|116.2|196.5|208.4|219.8|145.9
4/2008|169.4|119.6|192.3|205.9|211.1|138.8
5/2008|170.0|126.9|190.7|199.7|214.3|133.4
6/2008|175.9|133.2|192.1|208.5|222.0|134.0
7/2008|173.2|137.4|190.7|195.0|207.8|157.3
8/2008|164.0|139.6|179.0|182.0|172.7|161.5
9/2008|154.8|140.0|160.0|171.9|154.5|149.6
10/2008|136.0|132.5|144.8|145.4|117.4|131.5
11/2008|124.7|121.5|126.0|136.1|103.7|133.8
12/2008|117.8|111.0|114.8|134.4|99.4|129.9
1/2009|123.5|110.9|106.5|150.1|111.5|147.4
2/2009|118.8|103.8|99.7|144.5|110.3|155.9
3/2009|121.0|109.0|101.6|144.7|109.5|157.9
4/2009|124.9|111.9|102.2|146.0|125.6|160.8
5/2009|133.4|117.9|107.5|150.5|142.4|189.2
6/2009|133.7|121.1|108.5|149.3|135.1|193.6
7/2009|131.2|123.4|111.3|136.1|121.3|217.1
8/2009|136.3|125.0|114.2|133.0|132.1|264.4
9/2009|136.2|123.8|125.9|128.2|125.7|271.5
10/2009|139.5|120.4|139.0|135.8|128.6|266.9
11/2009|149.2|122.5|179.9|140.0|137.0|262.4
12/2009|150.2|118.3|184.6|138.5|144.0|277.3
1/2010|146.4|118.3|165.9|133.0|138.6|300.8
2/2010|143.7|119.3|159.2|129.0|138.9|289.0
3/2010|136.9|120.9|153.7|123.7|143.1|212.1
4/2010|137.9|125.1|165.9|121.5|141.7|187.0
5/2010|137.8|125.7|171.0|122.2|138.8|172.8
6/2010|136.4|125.7|166.0|118.9|137.6|180.2
7/2010|141.0|127.2|164.0|127.8|143.3|198.2
8/2010|149.0|128.9|161.5|145.9|158.2|210.4
9/2010|157.5|127.5|164.2|163.4|162.4|254.8
10/2010|166.9|131.1|169.7|174.0|180.7|279.8
11/2010|173.1|134.8|172.2|176.3|199.0|299.1
12/2010|180.4|136.7|172.3|187.3|215.4|319.2
1/2011|171.1|125.3|167.0|177.1|208.9|309.0
2/2011|176.6|127.9|176.4|187.2|210.7|307.5
3/2011|172.5|131.8|180.4|181.6|195.2|273.8
4/2011|175.0|137.5|175.0|192.1|195.0|254.2
5/2011|172.6|137.7|176.4|188.8|194.6|229.6
6/2011|172.9|136.2|176.8|184.2|191.9|263.0
