"Indicator"|"Country"|"Population"
"Pre-primary"|"Afghanistan"|3934697
"Pre-primary"|"Albania"|123359
"Pre-primary"|"Algeria"|597260
"Pre-primary"|"American Samoa"|"NA"
"Pre-primary"|"Andorra"|"NA"
"Pre-primary"|"Angola"|665295
"Pre-primary"|"Anguilla"|"NA"
"Pre-primary"|"Antigua and Barbuda"|2979
"Pre-primary"|"Argentina"|1977068
"Pre-primary"|"Armenia"|157398
"Pre-primary"|"Aruba"|2689
"Pre-primary"|"Australia"|279538
"Pre-primary"|"Austria"|237577
"Pre-primary"|"Azerbaijan"|363676
"Pre-primary"|"Bahamas"|9889
"Pre-primary"|"Bahrain"|52918
"Pre-primary"|"Bangladesh"|9442877
"Pre-primary"|"Barbados"|7093
"Pre-primary"|"Belarus"|277140
"Pre-primary"|"Belgium"|366582
"Pre-primary"|"Belize"|14783
"Pre-primary"|"Benin"|577118
"Pre-primary"|"Bermuda"|800
"Pre-primary"|"Bhutan"|27750
"Pre-primary"|"Bolivia"|504763
"Pre-primary"|"Bosnia and Herzegovina"|136155
"Pre-primary"|"Botswana"|134670
"Pre-primary"|"Brazil"|10573268
"Pre-primary"|"British Virgin Islands"|1191
"Pre-primary"|"Brunei Darussalam"|22371
"Pre-primary"|"Bulgaria"|259032
"Pre-primary"|"Burkina Faso"|1524423
"Pre-primary"|"Burundi"|525973
"Pre-primary"|"Cambodia"|906738
"Pre-primary"|"Cameroon"|1251512
"Pre-primary"|"Canada"|712572
"Pre-primary"|"Cabo Verde"|30642
"Pre-primary"|"Cayman Islands"|"NA"
"Pre-primary"|"Central African Republic"|370484
"Pre-primary"|"Chad"|1233279
"Pre-primary"|"Chile"|487911
"Pre-primary"|"China"|47496137
"Pre-primary"|"China, Hong Kong Special Administrative Region"|136670
"Pre-primary"|"China, Macao Special Administrative Region"|13926
"Pre-primary"|"Colombia"|2679929
"Pre-primary"|"Comoros"|62471
"Pre-primary"|"Congo"|368789
"Pre-primary"|"Cook Islands"|558
"Pre-primary"|"Costa Rica"|151845
"Pre-primary"|"Côte d'Ivoire"|1652224
"Pre-primary"|"Croatia"|159382
"Pre-primary"|"Cuba"|387520
"Pre-primary"|"Curaçao"|"NA"
"Pre-primary"|"Cyprus"|26634
"Pre-primary"|"Czech Republic"|309634
"Pre-primary"|"Democratic People's Republic of Korea"|747346
"Pre-primary"|"Democratic Republic of the Congo"|6045961
"Pre-primary"|"Denmark"|259957
"Pre-primary"|"Djibouti"|38379
"Pre-primary"|"Dominica"|1803
"Pre-primary"|"Dominican Republic"|639859
"Pre-primary"|"Ecuador"|315391
"Pre-primary"|"Egypt"|3267193
"Pre-primary"|"El Salvador"|357786
"Pre-primary"|"Equatorial Guinea"|55192
"Pre-primary"|"Eritrea"|"NA"
"Pre-primary"|"Estonia"|53762
"Pre-primary"|"Ethiopia"|6935179
"Pre-primary"|"Faeroe Islands"|"NA"
"Pre-primary"|"Falkland Islands (Malvinas)"|"NA"
"Pre-primary"|"Fiji"|51289
"Pre-primary"|"Finland"|230034
"Pre-primary"|"France"|2323923
"Pre-primary"|"French Guiana"|"NA"
"Pre-primary"|"French Polynesia"|"NA"
"Pre-primary"|"Gabon"|125445
"Pre-primary"|"Gambia"|216742
"Pre-primary"|"Georgia"|149226
"Pre-primary"|"Germany"|2143997
"Pre-primary"|"Ghana"|1304664
"Pre-primary"|"Gibraltar"|328
"Pre-primary"|"Greece"|209261
"Pre-primary"|"Grenada"|3614
"Pre-primary"|"Guadeloupe"|"NA"
"Pre-primary"|"Guam"|"NA"
"Pre-primary"|"Guatemala"|822723
"Pre-primary"|"Guinea"|955453
"Pre-primary"|"Guinea-Bissau"|136595
"Pre-primary"|"Guyana"|41631
"Pre-primary"|"Haiti"|726874
"Pre-primary"|"Holy See"|"NA"
"Pre-primary"|"Honduras"|567753
"Pre-primary"|"Hungary"|386456
"Pre-primary"|"Iceland"|13009
"Pre-primary"|"India"|74080975
"Pre-primary"|"Indonesia"|9567369
"Pre-primary"|"Iran (Islamic Republic of)"|1104672
"Pre-primary"|"Iraq"|1765162
"Pre-primary"|"Ireland"|129867
"Pre-primary"|"Israel"|413975
"Pre-primary"|"Italy"|1708667
"Pre-primary"|"Jamaica"|140891
"Pre-primary"|"Japan"|3291797
"Pre-primary"|"Jordan"|294707
"Pre-primary"|"Kazakhstan"|1040878
"Pre-primary"|"Kenya"|3839847
"Pre-primary"|"Kiribati"|6296
"Pre-primary"|"Kuwait"|86845
"Pre-primary"|"Kyrgyzstan"|397849
"Pre-primary"|"Lao People's Democratic Republic"|439505
"Pre-primary"|"Latvia"|81338
"Pre-primary"|"Lebanon"|186795
"Pre-primary"|"Lesotho"|147337
"Pre-primary"|"Liberia"|366310
"Pre-primary"|"Libya"|246870
"Pre-primary"|"Liechtenstein"|721
"Pre-primary"|"Lithuania"|113422
"Pre-primary"|"Luxembourg"|17359
"Pre-primary"|"Madagascar"|1903897
"Pre-primary"|"Malawi"|1438384
"Pre-primary"|"Malaysia"|1036861
"Pre-primary"|"Maldives"|18056
"Pre-primary"|"Mali"|1834694
"Pre-primary"|"Malta"|7659
"Pre-primary"|"Marshall Islands"|3102
"Pre-primary"|"Martinique"|"NA"
"Pre-primary"|"Mauritania"|308092
"Pre-primary"|"Mauritius"|33260
"Pre-primary"|"Mexico"|4707205
"Pre-primary"|"Micronesia (Federated States of)"|7447
"Pre-primary"|"Monaco"|"NA"
"Pre-primary"|"Mongolia"|139521
"Pre-primary"|"Montenegro"|30311
"Pre-primary"|"Montserrat"|128
"Pre-primary"|"Morocco"|1147384
"Pre-primary"|"Mozambique"|2450027
"Pre-primary"|"Myanmar"|1742062
"Pre-primary"|"Namibia"|109780
"Pre-primary"|"Nauru"|719
"Pre-primary"|"Nepal"|1359079
"Pre-primary"|"Netherlands"|404468
"Pre-primary"|"Nl Antilles"|"NA"
"Pre-primary"|"New Caledonia"|"NA"
"Pre-primary"|"New Zealand"|119094
"Pre-primary"|"Nicaragua"|396727
"Pre-primary"|"Niger"|1631458
"Pre-primary"|"Nigeria"|15089494
"Pre-primary"|"Niue"|32
"Pre-primary"|"Norfolk Island"|"NA"
"Pre-primary"|"Norway"|176085
"Pre-primary"|"Oman"|94035
"Pre-primary"|"Pakistan"|7901758
"Pre-primary"|"Palau"|774
"Pre-primary"|"Palestine"|228166
"Pre-primary"|"Panama"|146615
"Pre-primary"|"Papua New Guinea"|181214
"Pre-primary"|"Paraguay"|440391
"Pre-primary"|"Peru"|1754663
"Pre-primary"|"Philippines"|2281603
"Pre-primary"|"Poland"|1419893
"Pre-primary"|"Portugal"|329540
"Pre-primary"|"Puerto Rico"|97099
"Pre-primary"|"Qatar"|51336
"Pre-primary"|"Republic of Korea"|1292154
"Pre-primary"|"Republic of Moldova"|148859
"Pre-primary"|"Réunion"|"NA"
"Pre-primary"|"Romania"|860894
"Pre-primary"|"Russian Federation"|5874959
"Pre-primary"|"Rwanda"|895024
"Pre-primary"|"Saint Helena"|"NA"
"Pre-primary"|"Saint Kitts and Nevis"|1872
"Pre-primary"|"Saint Lucia"|5729
"Pre-primary"|"Saint Pierre and Miquelon"|"NA"
"Pre-primary"|"Saint Vincent and the Grenadines"|3647
"Pre-primary"|"Samoa"|9895
"Pre-primary"|"San Marino"|1112
"Pre-primary"|"Sao Tome and Principe"|15971
"Pre-primary"|"Saudi Arabia"|1795798
