GHO|Indicator|PUBLISHSTATE|PUBLISH STATES|YEAR|Year|REGION|WHO region|ISO|Country|Value
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1990|1990|WPR|Western Pacific|JPN|Japan|1.219
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1991|1991|EUR|Europe|FRA|France|0.894
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1991|1991|EUR|Europe|HRV|Croatia|0.359
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1992|1992|EUR|Europe|FRA|France|0.9
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1992|1992|EUR|Europe|HRV|Croatia|0.369
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1992|1992|WPR|Western Pacific|JPN|Japan|1.303
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1993|1993|SEAR|South-East Asia|MDV|Maldives|0.585
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1994|1994|EUR|Europe|FRA|France|0.917
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1994|1994|EUR|Europe|HRV|Croatia|0.353
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1995|1995|SEAR|South-East Asia|THA|Thailand|0.101
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1996|1996|EUR|Europe|HRV|Croatia|0.36
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1997|1997|EMR|Eastern Mediterranean|SOM|Somalia|0.001
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1997|1997|SEAR|South-East Asia|THA|Thailand|0.101
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1998|1998|AFR|Africa|GAB|Gabon|0.028
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1998|1998|EUR|Europe|SWE|Sweden|0.674
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1999|1999|WPR|Western Pacific|FJI|Fiji|0.073
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1999|1999|EUR|Europe|FRA|France|0.952
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1999|1999|WPR|Western Pacific|SLB|Solomon Islands|0.066
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1990|1990|EMR|Eastern Mediterranean|OMN|Oman|0.235
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1991|1991|SEAR|South-East Asia|MDV|Maldives|0.486
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1991|1991|SEAR|South-East Asia|THA|Thailand|0.079
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1992|1992|SEAR|South-East Asia|IDN|Indonesia|0.024
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1993|1993|AFR|Africa|GAB|Gabon|0.025
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1993|1993|SEAR|South-East Asia|LKA|Sri Lanka|0.033
HRH_25|Pharmaceutical personnel density (per 1000 population)|PUBLISHED|Published|1994|1994|EMR|Eastern Mediterranean|TUN|Tunisia|0.161
